RU000A0JREZ8,14.54,182,,1000,2021-04-02 00:00:00,,111.52,,,3,SUR,,"[(1000, datetime.datetime(2021, 4, 2, 0, 0))]","[(36.25, datetime.datetime(2020, 10, 2, 0, 0)), (36.25, datetime.datetime(2021, 4, 2, 0, 0))]",-0.06443331678879154
RU000A0JRF11,0.02,182,,1000,2021-04-05 00:00:00,,94.1,,,2,SUR,,"[(1000, datetime.datetime(2021, 4, 5, 0, 0))]","[(0.05, datetime.datetime(2020, 10, 5, 0, 0)), (0.05, datetime.datetime(2021, 4, 5, 0, 0))]",0.078529140081937
RU000A0JRFN1,16.4,182,,1000,2021-04-12 00:00:00,,104.19,,,3,SUR,,"[(1000, datetime.datetime(2021, 4, 12, 0, 0))]","[(47.37, datetime.datetime(2020, 10, 12, 0, 0)), (47.37, datetime.datetime(2021, 4, 12, 0, 0))]",0.04306698739293146
RU000A0JRFP6,16.4,182,,1000,2021-04-12 00:00:00,,108.17,,,3,SUR,,"[(1000, datetime.datetime(2021, 4, 12, 0, 0))]","[(47.37, datetime.datetime(2020, 10, 12, 0, 0)), (47.37, datetime.datetime(2021, 4, 12, 0, 0))]",-0.0038085886974935667
RU000A0JRHF3,4.81,182,,1000,2021-05-18 00:00:00,,101.6,,,2,SUR,,"[(1000, datetime.datetime(2021, 5, 18, 0, 0))]","[(32.41, datetime.datetime(2020, 11, 17, 0, 0)), (32.41, datetime.datetime(2021, 5, 18, 0, 0))]",0.0475867438520274
RU000A0JRHG1,4.81,182,,1000,2021-05-18 00:00:00,,101,,,2,SUR,,"[(1000, datetime.datetime(2021, 5, 18, 0, 0))]","[(32.41, datetime.datetime(2020, 11, 17, 0, 0)), (32.41, datetime.datetime(2021, 5, 18, 0, 0))]",0.054412087096727124
RU000A0JRJB8,5.72,182,,1000,2031-05-13 00:00:00,,103,,,1,SUR,,"[(1000, datetime.datetime(2031, 5, 13, 0, 0))]","[(52.06, datetime.datetime(2020, 11, 24, 0, 0)), (52.06, datetime.datetime(2021, 5, 25, 0, 0))]",0.006466382582128815
RU000A0JRJC6,67.79,366,,1000,2022-04-04 00:00:00,2020-08-06 00:00:00,100,,,1,SUR,,"[(1000, datetime.datetime(2022, 4, 4, 0, 0))]","[(79.02, datetime.datetime(2020, 8, 6, 0, 0)), (0, datetime.datetime(2021, 8, 6, 0, 0)), (0, datetime.datetime(2022, 4, 4, 0, 0))]",0.006244768863596841
RU000A0JRJL7,5.72,182,,1000,2031-05-13 00:00:00,,100,,,1,SUR,,"[(1000, datetime.datetime(2031, 5, 13, 0, 0))]","[(52.06, datetime.datetime(2020, 11, 24, 0, 0)), (52.06, datetime.datetime(2021, 5, 25, 0, 0))]",0.009465736179158147
RU000A0JRJS2,0.86,182,,200,2021-05-27 00:00:00,,100,,,3,SUR,,"[(50, datetime.datetime(2020, 8, 27, 0, 0)), (50, datetime.datetime(2020, 11, 26, 0, 0)), (50, datetime.datetime(2021, 2, 25, 0, 0))]","[(7.64, datetime.datetime(2020, 11, 26, 0, 0)), (3.27, datetime.datetime(2021, 5, 27, 0, 0))]",-0.37628871498301314
