RU000A0JRJL7,1.72,182,,1000,2031-05-13 00:00:00,,100,"[(52.06, datetime.datetime(2020, 11, 24, 0, 0)), (52.06, datetime.datetime(2021, 5, 25, 0, 0))]",0.009846257009480263
RU000A0JRJS2,0.19,182,,200,2021-05-27 00:00:00,,100.1,"[(7.64, datetime.datetime(2020, 11, 26, 0, 0)), (3.27, datetime.datetime(2021, 5, 27, 0, 0))]",0.054917382138982285
RU000A0JRJT0,0.19,182,,200,2021-05-27 00:00:00,,100.1,"[(7.64, datetime.datetime(2020, 11, 26, 0, 0)), (3.27, datetime.datetime(2021, 5, 27, 0, 0))]",0.054917382138982285
RU000A0JRJV6,0,182,,900,2021-06-01 00:00:00,2020-12-01 00:00:00,88.9,"[(33.91, datetime.datetime(2020, 12, 1, 0, 0)), (0, datetime.datetime(2021, 6, 1, 0, 0))]",0.17279420918459706
RU000A0JRJY0,0,182,,250,2021-06-01 00:00:00,,99.47,"[(7.64, datetime.datetime(2020, 12, 1, 0, 0)), (3.27, datetime.datetime(2021, 6, 1, 0, 0))]",0.0505327174475789
RU000A0JRK22,38.4,182,,900,2021-06-04 00:00:00,2020-12-04 00:00:00,89,"[(39.27, datetime.datetime(2020, 6, 5, 0, 0)), (33.91, datetime.datetime(2020, 12, 4, 0, 0)), (0, datetime.datetime(2021, 6, 4, 0, 0))]",0.1711789239040658
RU000A0JRKC4,39.82,182,,1000,2021-06-11 00:00:00,,102.1,"[(42.38, datetime.datetime(2020, 6, 12, 0, 0)), (42.38, datetime.datetime(2020, 12, 11, 0, 0)), (42.38, datetime.datetime(2021, 6, 11, 0, 0))]",0.06529052217344769
RU000A0JRKD2,39.82,182,,1000,2021-06-11 00:00:00,2020-06-12 00:00:00,100.24,"[(42.38, datetime.datetime(2020, 6, 12, 0, 0)), (0, datetime.datetime(2020, 12, 11, 0, 0)), (0, datetime.datetime(2021, 6, 11, 0, 0))]",0.00015731156549708765
RU000A0JRKM3,39.82,182,,1000,2021-06-11 00:00:00,2020-06-12 00:00:00,100.24,"[(42.38, datetime.datetime(2020, 6, 12, 0, 0)), (0, datetime.datetime(2020, 12, 11, 0, 0)), (0, datetime.datetime(2021, 6, 11, 0, 0))]",0.00015731156549708765
RU000A0JRL96,37.26,182,,1000,2021-06-22 00:00:00,,104.25,"[(42.38, datetime.datetime(2020, 6, 23, 0, 0)), (42.38, datetime.datetime(2020, 12, 22, 0, 0)), (42.38, datetime.datetime(2021, 6, 22, 0, 0))]",0.04436171179971033
RU000A0JRLE8,34.16,182,,1000,2021-06-29 00:00:00,,102.4,"[(40.64, datetime.datetime(2020, 6, 30, 0, 0)), (40.64, datetime.datetime(2020, 12, 29, 0, 0)), (40.64, datetime.datetime(2021, 6, 29, 0, 0))]",0.05962150943624497
RU000A0JRMB2,33.72,182,,1000,2021-07-01 00:00:00,,104.29,"[(40.64, datetime.datetime(2020, 7, 2, 0, 0)), (40.64, datetime.datetime(2020, 12, 31, 0, 0)), (40.64, datetime.datetime(2021, 7, 1, 0, 0))]",0.04139235669908479
